id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
0,Royal Enfield Classic 350,175000.0,2019,Individual,1st owner,350,,6,1,58.333,4.861,Royal Enfield
1,Honda Dio,45000.0,2017,Individual,1st owner,5650,,8,2,706.25,58.854,Honda
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,7,3,1714.286,142.857,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,10,5,2300.0,191.667,Yamaha
4,Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,14,5,1500.0,125.0,Yamaha
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,15,12,4000.0,333.333,Honda
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,7,4,2428.571,202.381,Honda
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,17,8,2294.118,191.177,Royal Enfield
8,Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000,,15,7,2133.333,177.778,Hero Honda
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,9,9,4666.667,388.889,Bajaj
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,10,7,3200.0,266.667,Yamaha
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,9,2,1111.111,92.593,Honda
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,7,5,3025.429,252.119,Bajaj
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,6,1,187.833,15.653,Yamaha
14,Jawa 42,185000.0,2020,Individual,1st owner,1700,,5,1,340.0,28.333,Jawa
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,13,11,4230.769,352.564,Suzuki
16,Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000,,19,6,1421.053,118.421,Hero Honda
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,15,9,3000.0,250.0,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,7,5,3285.714,273.81,Royal Enfield
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,7,8,5571.429,464.286,Yamaha
20,Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,17,12,3529.412,294.118,Hero
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,9,4,1938.889,161.574,Honda
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,12,5,1724.667,143.722,Honda
23,Jawa Standard,180000.0,2019,Individual,1st owner,2000,,6,1,333.333,27.778,Jawa
24,Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,9,4,2222.222,185.185,Royal Enfield
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,13,7,2692.308,224.359,Honda
26,TVS Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210,,7,4,2172.857,181.071,TVS
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,8,5,3000.0,250.0,Honda
